# Envelope of the raw data
#   MATLAB signal filter envelope(..., 'peak') applied
#   Data scaled to the range from 0 to 1 for the envelope
#   Interpolated to delta t = 0.05 to reduce data
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
0;-0.0010568;-0.0016143;-0.0076258;0.028875;0.057935;0.010575;-0.0095852;0.043159
0.05;-0.0014185;-4.737e-05;-0.0072794;0.025686;0.051213;0.009276;-0.0083629;0.039467
0.1;-0.0017415;0.0013238;-0.0069274;0.022678;0.044904;0.0080513;-0.0072212;0.035946
0.15;-0.0020271;0.0025079;-0.0065705;0.019848;0.038999;0.0068999;-0.006158;0.032593
0.2;-0.0022773;0.0035167;-0.0062096;0.017186;0.033477;0.0058184;-0.0051692;0.0294
0.25;-0.0024936;0.0043603;-0.0058451;0.014685;0.028322;0.004804;-0.0042514;0.026361
0.3;-0.0026772;0.0050467;-0.0054783;0.012344;0.023526;0.0038559;-0.0034033;0.023475
0.35;-0.0028298;0.005586;-0.0051101;0.010157;0.019076;0.0029719;-0.0026219;0.020738
0.4;-0.0029506;0.0059807;-0.0047486;0.0081576;0.015037;0.0021655;-0.0019181;0.018195
0.45;-0.003049;0.006264;-0.0043657;0.0061885;0.01109;0.0013736;-0.0012365;0.015647
0.5;-0.0031188;0.0064184;-0.0039835;0.0043672;0.007472;0.0006436;-0.00061784;0.013244
0.55;-0.0031612;0.0064534;-0.0036031;0.0026885;0.0041686;-2.6656e-05;-5.9363e-05;0.010981
0.6;-0.0031779;0.0063785;-0.003225;0.0011463;0.0011655;-0.00063949;0.00044185;0.0088545
0.65;-0.0031703;0.0062031;-0.0028502;-0.00026446;-0.0015502;-0.0011969;0.00088842;0.0068593
0.7;-0.0031399;0.0059361;-0.0024798;-0.0015474;-0.0039885;-0.0017005;0.0012825;0.0049934
0.75;-0.003088;0.0055861;-0.0021136;-0.0027111;-0.0061688;-0.0021535;0.0016277;0.003248
0.8;-0.003016;0.0051622;-0.0017531;-0.0037579;-0.0080982;-0.0025568;0.0019259;0.0016227
0.85;-0.0029265;0.0046793;-0.0014035;-0.0046816;-0.0097694;-0.0029084;0.0021764;0.00013157
0.9;-0.0028181;0.0041306;-0.0010547;-0.0055149;-0.011244;-0.0032206;0.0023894;-0.0012744
0.95;-0.002689;0.0035119;-0.00070265;-0.0062677;-0.012542;-0.0034969;0.0025674;-0.002613
1;-0.0025442;0.0028499;-0.00035997;-0.0069152;-0.013621;-0.0037279;0.0027052;-0.0038386
1.05;-0.0023848;0.0021523;-2.6845e-05;-0.0074638;-0.014496;-0.0039164;0.0028057;-0.0049581
1.1;-0.002212;0.0014268;0.00029618;-0.0079182;-0.015179;-0.0040639;0.0028711;-0.0059754
1.15;-0.0020273;0.00068304;0.00060792;-0.008283;-0.015682;-0.0041725;0.002904;-0.0068934
1.2;-0.0018322;-7.0959e-05;0.00090768;-0.0085626;-0.016017;-0.0042439;0.0029068;-0.0077159
1.25;-0.0016276;-0.00082834;0.0011952;-0.0087621;-0.016194;-0.0042801;0.0028817;-0.0084478
1.3;-0.0014149;-0.0015805;0.0014696;-0.008886;-0.016226;-0.0042828;0.0028311;-0.009092
1.35;-0.0012021;-0.0022979;0.0017224;-0.0089379;-0.016129;-0.0042552;0.0027597;-0.0096366
1.4;-0.00096819;-0.0030452;0.0019782;-0.0089236;-0.015894;-0.0041943;0.0026613;-0.010136
1.45;-0.00072968;-0.0037626;0.0022176;-0.008842;-0.015539;-0.0041032;0.0025426;-0.010553
