# Raw simulation data
#   No filters applied
#   Data scaled to the range from 0 to 1 for the envelope
#
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
0;0;0;0;0;0;0;0;0
0.05;0;0;0;0;0;0;0;0
0.1;0;0;0;0;0;0;0;0
0.15;0;0;0;0;0;0;0;0
0.2;0;0;0;0;0;0;0;0
0.25;0;0;0;0;0;0;0;0
0.3;0;0;0;0;0;0;0;0
0.35;0;0;0;0;0;0;0;0
0.4;0;0;0;0;0;0;0;0
0.45;0;0;0;0;0;0;0;0
0.5;0;0;0;0;0;0;0;0
0.55;0;0;0;0;0;0;0;0
0.6;0;0;0;0;0;0;0;0
0.65;0;0;0;0;0;0;0;0
0.7;0;0;0;0;0;0;0;0
0.75;0;0;0;0;0;0;0;0
0.8;0;0;0;0;0;0;0;0
0.85;0;0;0;0;0;0;0;0
0.9;0;0;0;0;0;0;0;0
0.95;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0
1.05;0;0;0;0;0;0;0;0
1.1;0;0;0;0;0;0;0;0
1.15;0;0;0;0;0;0;0;0
1.2;0;0;0;0;0;0;0;0
1.25;0;0;0;0;0;0;0;0
1.3;0;0;0;0;0;0;0;0
1.35;0;0;0;0;0;0;0;0
1.4;0;0;0;0;0;0;0;0
1.45;0;0;0;0;0;0;0;0
1.5;0;0;0;0;0;0;0;0
1.55;0;0;0;0;0;0;0;0
1.6;0;0;0;0;0;0;0;0
1.65;0;0;0;0;0;0;0;0
1.7;0;0;0;0;0;0;0;0
1.75;0;0;0;0;0;0;0;0
1.8;0;0;0;0;0;0;0;0
1.85;0;0;0;0;0;0;0;0
1.9;0;0;0;0;0;0;0;0
1.95;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0
2.05;0;0;0;0;0;0;0;0
2.1;0;0;0;0;0;0;0;0
2.15;0;0;0;0;0;0;0;0
2.2;0;0;0;0;0;0;0;0
2.25;0;0;0;0;0;0;0;0
2.3;0;0;0;0;0;0;0;0
2.35;0;0;0;0;0;0;0;0
2.4;0;0;0;0;0;0;0;0
2.45;0;0;0;0;0;0;0;0
2.5;0;0;0;0;0;0;0;0
