# Simulation data of water height over weir
#   Calculated by integrating alpha.water over the height
#   Averaged over 51 different times:
#       5, 5.1, 5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6, 6.1, 6.2, 6.3, 6.4, 6.5, 6.6, 6.7, 6.8, 6.9, 7, 7.1, 7.2, 7.3, 7.4, 7.5, 7.6, 7.7, 7.8, 7.9, 8, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9, 9, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.8, 9.9, 10, 
position;mean(height);median(height);std(height);diff(height,mean)
-0.41464;6.0325;6.1431;0.47081;3.7894
-0.41414;5.6389;5.7497;0.63392;3.3958
-0.41364;5.6281;5.7189;0.69741;3.3849
-0.41314;5.7808;5.8895;0.64735;3.5376
-0.41264;5.5;5.6252;0.60215;3.2568
-0.41214;5.2382;5.3781;0.60133;2.995
-0.41164;5.6231;5.8148;0.61093;3.3799
-0.41114;5.2685;5.4582;0.62704;3.0253
-0.41064;5.3926;5.6057;0.61838;3.1494
-0.41014;5.4707;5.6698;0.61182;3.2275
-0.40964;5.1473;5.299;0.57489;2.9041
-0.40914;4.906;5.0143;0.5034;2.6628
-0.40864;5.1104;5.2077;0.44535;2.8672
-0.40814;4.9425;5.0223;0.37399;2.6993
-0.40764;4.4592;4.5185;0.30849;2.216
-0.40714;4.0334;4.0654;0.23721;1.7902
-0.40664;3.9146;3.9294;0.16218;1.6714
-0.40614;3.7898;3.8162;0.17783;1.5466
-0.40564;3.6286;3.662;0.18529;1.3854
-0.40514;3.2091;3.2457;0.17613;0.9659
-0.40464;2.8572;2.9;0.20277;0.61401
-0.40414;2.9807;3.0265;0.19199;0.73757
-0.40364;2.838;2.8684;0.17898;0.59482
-0.40314;2.6803;2.7031;0.17326;0.43715
-0.40264;2.4983;2.5321;0.16844;0.25509
-0.40214;2.3205;2.3742;0.17474;0.0773
-0.40164;2.4921;2.5416;0.16469;0.24891
-0.40114;2.4534;2.5079;0.16045;0.21026
-0.40064;2.3278;2.3841;0.15943;0.084588
-0.40014;2.2322;2.2885;0.15608;-0.011012
-0.39964;2.2552;2.3038;0.15077;0.012034
-0.39914;2.3402;2.3923;0.14928;0.097017
-0.39864;2.3664;2.4141;0.14214;0.12318
-0.39814;2.2617;2.3062;0.13975;0.018487
-0.39764;2.1596;2.2001;0.14065;-0.083578
-0.39714;2.1769;2.212;0.14047;-0.066251
-0.39664;2.3798;2.4151;0.13193;0.13662
-0.39614;2.373;2.4047;0.12819;0.12986
-0.39564;2.2566;2.2863;0.12753;0.013379
-0.39514;2.1531;2.1788;0.12853;-0.090071
