# Raw measurement data
#   No filters applied
#   Data scaled to the range from 0 to 1 for the envelope
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
0;-0.028753;-0.096946;-0.078112;-0.092066;-0.021385;-0.021351;-0.096922;-0.1027
0.05;-0.10667;-0.056772;-0.040471;-0.06571;-0.096633;-0.076159;-0.056245;-0.051149
0.1;-0.11009;-0.080636;-0.014228;-0.044576;-0.090143;-0.086509;-0.076735;-0.028922
0.15;-0.080939;-0.048911;-0.042191;-0.092066;-0.08614;-0.06077;-0.040043;-0.062196
0.2;-0.081443;-0.096946;-0.060095;-0.027967;-0.061414;-0.064494;-0.096922;-0.071676
0.25;-0.041936;-0.096946;-0.075244;-0.08919;-0.031837;-0.016626;-0.096922;-0.099122
0.3;-0.051119;-0.091668;-0.058957;-0.073295;-0.059929;-0.032081;-0.09622;-0.070667
0.35;-0.083929;-0.042258;-0.064874;-0.070436;-0.078308;-0.05231;-0.036036;-0.090779
0.4;-0.052091;-0.085723;-0.078112;-0.092066;-0.047685;-0.020517;-0.087604;-0.1027
0.45;-0.033161;-0.084634;-0.078112;-0.092066;-0.047661;-0.015238;-0.094192;-0.1027
0.5;-0.10258;-0.096946;-0.022835;-0.034293;-0.082177;-0.082946;-0.096922;-0.054111
0.55;-0.038877;-0.093775;-0.078112;-0.078591;-0.054414;-0.029316;-0.083421;-0.1027
0.6;-0.052291;-0.068346;-0.073243;-0.092066;-0.030848;-0.032135;-0.06779;-0.1027
0.65;-0.11009;-0.092013;-0.073416;-0.024284;-0.026104;-0.086509;-0.091864;-0.09798
0.7;-0.052442;-0.051841;-0.074416;-0.0881;-0.065987;-0.039147;-0.04437;-0.097193
0.75;-0.048895;-0.055096;-0.063871;-0.075885;-0.096633;-0.037194;-0.040796;-0.087574
0.8;-0.027641;-0.059318;-0.073433;-0.082793;-0.093533;-0.010032;-0.04983;-0.093777
0.85;-0.11009;-0.096946;-0.078112;-0.02087;-0.031539;-0.086509;-0.096922;-0.1027
0.9;-0.014478;-0.07999;-0.078112;-0.092066;-0.074984;-0.015936;-0.071968;-0.1027
0.95;-0.051447;-0.096946;-0.078112;-0.083034;-0.030856;-0.03514;-0.096922;-0.1027
1;-0.090855;-0.039427;-0.038711;-0.070777;-0.096633;-0.057369;-0.042934;-0.061031
1.05;-0.11009;-0.095151;-0.0066266;-0.031989;-0.096633;-0.085984;-0.095429;-0.017018
1.1;-0.11009;-0.064682;-0.035169;-0.044909;-0.096633;-0.086509;-0.057673;-0.041703
1.15;-0.031682;-0.082964;-0.070005;-0.092066;-0.045824;-0.032497;-0.084139;-0.088651
1.2;-0.095527;-0.034877;-0.037392;-0.092066;-0.085954;-0.072888;-0.015697;-0.031842
1.25;-0.065683;-0.086215;-0.045667;-0.06694;-0.092467;-0.045483;-0.082644;-0.065244
1.3;-0.063143;-0.085374;-0.069644;-0.078503;-0.02025;-0.059863;-0.085447;-0.089782
1.35;-0.063536;-0.096709;-0.078112;-0.092066;-0.039123;-0.033892;-0.096797;-0.1027
1.4;-0.03816;-0.068585;-0.078112;-0.092066;-0.067769;-0.019507;-0.060488;-0.1027
1.45;-0.10293;-0.096946;-0.078112;-0.028621;-0.040426;-0.081476;-0.096922;-0.1027
1.5;-0.076388;-0.02984;-0.064219;-0.092066;-0.086186;-0.036308;-0.032187;-0.079904
1.55;-0.085385;-0.034082;-0.063457;-0.083862;-0.096633;-0.040336;-0.030835;-0.085409
1.6;-0.036935;-0.080087;-0.078112;-0.077815;-0.071524;-0.0203;-0.065254;-0.1027
1.65;-0.10016;-0.04084;-0.05269;-0.058592;-0.08758;-0.076701;-0.055667;-0.071995
1.7;-0.10508;-0.096946;-0.025377;-0.042818;-0.091112;-0.082818;-0.096922;-0.042002
1.75;-0.090221;-0.083305;-0.034477;-0.043635;-0.096633;-0.0665;-0.085742;-0.035546
1.8;-0.091111;-0.061451;-0.055572;-0.078285;-0.045452;-0.066818;-0.060217;-0.07506
1.85;-0.060348;-0.096946;-0.078112;-0.092066;-0.010645;-0.035102;-0.096922;-0.1027
1.9;-0.083523;-0.096946;-0.078112;-0.07352;-0.020782;-0.063539;-0.096922;-0.1027
1.95;-0.11009;-0.077603;-0.014851;-0.066524;-0.094984;-0.086509;-0.072355;-0.023838
2;-0.095795;-0.096946;-0.068991;-0.062197;-0.03976;-0.064264;-0.096922;-0.091435
2.05;-0.081217;-0.096946;-0.055587;-0.046721;-0.059864;-0.062067;-0.096922;-0.06037
2.1;-0.11009;-0.025273;-0.018901;-0.089418;-0.095727;-0.086509;-0.030816;-0.01216
2.15;-0.092189;-0.088916;-0.060958;-0.07729;-0.044359;-0.074585;-0.086801;-0.072395
2.2;-0.086579;-0.091249;-0.06354;-0.043292;-0.079292;-0.060695;-0.096561;-0.07471
2.25;-0.10925;-0.096946;-0.0068535;-0.040706;-0.095858;-0.085909;-0.096922;-0.017638
2.3;-0.11009;-0.096946;-0.076165;-0.0083433;-0.075065;-0.086509;-0.096922;-0.082799
2.35;-0.045272;-0.096946;-0.078112;-0.058256;-0.03156;-0.045116;-0.096922;-0.1027
2.4;-0.11009;-0.096946;-0.077151;-0.025065;-0.057929;-0.086509;-0.096922;-0.10116
2.45;-0.066853;-0.029761;-0.051588;-0.092066;-0.092969;-0.046784;-0.028634;-0.07783
2.5;-0.11009;-0.030261;-0.007265;-0.087096;-0.094715;-0.086509;-0.033247;-0.051185
2.55;-0.076022;-0.033112;-0.041996;-0.092066;-0.073692;-0.0615;-0.037614;-0.068239
2.6;-0.088974;-0.09109;-0.07084;-0.02964;-0.058812;-0.065414;-0.091978;-0.093217
2.65;-0.012926;-0.075907;-0.074347;-0.086275;-0.069859;-0.0064618;-0.091833;-0.097305
2.7;-0.055718;-0.078519;-0.0729;-0.053676;-0.082473;-0.040483;-0.068155;-0.090944
