# Residence Time Distribution Data for the setup:
# 	 Reactors: 3
# 	 VIn: 2
# 	 Reactor volumes: 1 1 0.75 
time;yIn;Reactor 1;Reactor 2;Reactor 3
0;1;1;1;1
0.076056;1;1;1;1
0.15211;1;1;1;1
0.22817;1;1;1;1
0.30422;1;1;1;1
0.38028;1;1;1;1
0.45633;1;1;1;1
0.53239;1;1;1;1
0.60845;1;1;1;1
0.68399;1;1;1;1
0.75953;1;1;1;1
0.83508;1;1;1;1
0.91062;1;1;1;1
0.92247;1;1;1;1
0.93433;1;1;1;1
0.94618;1;1;1;1
0.95804;1;1;1;1
0.9666;1;1;1;1
0.97517;1;1;1;1
0.98374;1;1;1;1
0.99231;1;1;1;1
1.0009;10;1.0827;1.0006;0.99998
1.0094;10;1.2436;1.0033;1
1.018;10;1.4021;1.0086;1.0002
1.0266;10;1.5437;1.0166;1.0005
1.0348;10;1.6817;1.0263;1.0009
1.043;10;1.8175;1.0381;1.0016
1.0513;10;1.9511;1.052;1.0025
1.0595;10;2.0825;1.0677;1.0038
1.1006;10;2.7081;1.1732;1.0158
1.1418;10;3.2843;1.3179;1.0396
1.183;10;3.8149;1.4948;1.0775
1.2241;10;4.3035;1.698;1.1313
1.2677;10;4.7789;1.9358;1.2067
1.3112;10;5.2146;2.1917;1.3009
1.3548;10;5.6139;2.4611;1.4135
1.3984;10;5.9799;2.74;1.5438
1.4509;10;6.3807;3.0836;1.7232
1.5034;10;6.7416;3.4309;1.9242
1.5559;10;7.0664;3.7778;2.1442
1.6084;10;7.3588;4.1208;2.3805
1.674;10;7.6834;4.5393;2.6945
1.7395;10;7.9681;4.9437;3.0241
1.8051;10;8.2177;5.3314;3.364
1.8706;10;8.4366;5.7003;3.71
1.9567;10;8.6841;6.1534;4.1674
2.0428;10;8.8923;6.5708;4.6201
2.1289;10;9.0674;6.953;5.0614
2.215;10;9.2148;7.3001;5.4866
2.3272;10;9.3729;7.7013;6.011
2.4393;10;9.4991;8.0503;6.4965
2.5515;10;9.5995;8.3528;6.9403
2.6637;10;9.6797;8.6127;7.3415
2.8025;10;9.7578;8.8811;7.7795
2.9413;10;9.8168;9.1009;8.1571
3.0801;10;9.8609;9.2807;8.4801
3.2189;10;9.8942;9.4264;8.7531
3.3807;10;9.9238;9.5602;9.0146
3.5426;10;9.9451;9.6638;9.2256
3.7045;10;9.96;9.744;9.3954
3.8663;10;9.9708;9.8056;9.5303
4.0723;10;9.981;9.8636;9.6604
4.2783;10;9.9877;9.9046;9.7559
4.4842;10;9.9916;9.9332;9.8259
4.6902;10;9.9941;9.9532;9.8766
4.9402;10;9.9966;9.9703;9.9193
5.1902;10;9.9981;9.9813;9.9477
5.4402;10;9.9987;9.9877;9.9654
5.6902;10;9.999;9.9917;9.9769
5.9402;10;9.9994;9.9948;9.9853
6.1902;10;9.9997;9.9967;9.9908
6.4402;10;9.9998;9.9978;9.9937
6.6902;10;9.9998;9.9985;9.9956
6.9402;10;9.9999;9.9991;9.9973
7.1902;10;9.9999;9.9994;9.9984
7.4402;10;10;9.9996;9.9988
7.6902;10;10;9.9997;9.9991
7.9402;10;10;9.9998;9.9995
8.1902;10;10;9.9999;9.9997
8.4402;10;10;9.9999;9.9998
8.6902;10;10;10;9.9998
8.9402;10;10;10;9.9999
9.1902;10;10;10;10
9.4402;10;10;10;10
9.6902;10;10;10;10
9.7676;10;10;10;10
9.8451;10;10;10;10
9.9225;10;10;10;10
10;10;10;10;10
