# Simulation data of water height over weir
#   Calculated by integrating alpha.water over the height
#   Averaged over 51 different times:
#       5, 5.1, 5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6, 6.1, 6.2, 6.3, 6.4, 6.5, 6.6, 6.7, 6.8, 6.9, 7, 7.1, 7.2, 7.3, 7.4, 7.5, 7.6, 7.7, 7.8, 7.9, 8, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9, 9, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.8, 9.9, 10, 
position;mean(height);median(height);std(height);diff(height,mean)
-0.41464;6.2711;6.1985;0.20347;3.4578
-0.41414;6.8292;6.7665;0.29319;4.0159
-0.41364;7.0567;7.0271;0.29236;4.2434
-0.41314;7.0542;7.0395;0.22586;4.241
-0.41264;7.2456;7.2424;0.25224;4.4324
-0.41214;7.4523;7.462;0.23391;4.6391
-0.41164;7.3;7.318;0.19509;4.4867
-0.41114;7.0985;7.075;0.25209;4.2853
-0.41064;7.2878;7.2521;0.33415;4.4745
-0.41014;7.301;7.2962;0.26096;4.4877
-0.40964;7.1106;7.1003;0.20513;4.2974
-0.40914;7.0688;7.0552;0.20681;4.2556
-0.40864;7.3034;7.3129;0.23951;4.4902
-0.40814;7.1928;7.2228;0.26435;4.3795
-0.40764;6.8936;6.925;0.28451;4.0803
-0.40714;6.5922;6.6287;0.32625;3.7789
-0.40664;6.302;6.3297;0.35803;3.4888
-0.40614;6.0335;6.0604;0.33817;3.2203
-0.40564;5.6889;5.7093;0.31734;2.8757
-0.40514;5.2184;5.2322;0.30821;2.4051
-0.40464;4.761;4.7639;0.28179;1.9478
-0.40414;4.4937;4.4934;0.22391;1.6805
-0.40364;4.3456;4.3402;0.2043;1.5324
-0.40314;4.1693;4.1706;0.18904;1.356
-0.40264;3.9158;3.9317;0.19933;1.1026
-0.40214;3.7857;3.8087;0.21165;0.97245
-0.40164;3.8219;3.8535;0.17496;1.0087
-0.40114;3.7174;3.746;0.17483;0.90418
-0.40064;3.5755;3.6104;0.18968;0.76228
-0.40014;3.4525;3.4727;0.20292;0.63927
-0.39964;3.4556;3.4605;0.22502;0.64238
-0.39914;3.5647;3.5774;0.2218;0.75141
-0.39864;3.5009;3.5081;0.20248;0.68761
-0.39814;3.3686;3.3719;0.20494;0.55539
-0.39764;3.3024;3.3037;0.22333;0.48911
-0.39714;3.3629;3.3522;0.24514;0.54966
-0.39664;3.5011;3.4936;0.22792;0.68786
-0.39614;3.4484;3.4388;0.21081;0.63519
-0.39564;3.3228;3.3093;0.21232;0.50951
-0.39514;3.2318;3.212;0.22113;0.41854
-0.39464;3.2301;3.2066;0.22451;0.41681
-0.39414;3.3957;3.3773;0.21368;0.58247
-0.39364;3.4634;3.4484;0.22774;0.65012
-0.39314;3.4881;3.4668;0.25631;0.67485
-0.39264;3.4333;3.4087;0.26232;0.62005
-0.39214;3.4381;3.408;0.27203;0.62485
-0.39164;3.5173;3.4963;0.24078;0.70402
-0.39114;3.4681;3.4507;0.21905;0.65481
-0.39064;3.3463;3.3283;0.21947;0.53309
-0.39014;3.2675;3.246;0.22178;0.45427
-0.38964;3.2901;3.2844;0.21356;0.47681
-0.38914;3.4378;3.4429;0.21718;0.62457
-0.38864;3.5258;3.5342;0.21966;0.71253
-0.38814;3.5601;3.5694;0.25263;0.74685
-0.38764;3.5076;3.5282;0.26256;0.69433
-0.38714;3.5242;3.5488;0.25902;0.71098
-0.38664;3.5917;3.6152;0.22567;0.77847
-0.38614;3.5343;3.5609;0.20806;0.72106
-0.38564;3.4178;3.4441;0.20356;0.60456
-0.38514;3.344;3.367;0.20324;0.53079
-0.38464;3.361;3.3901;0.20021;0.54774
-0.38414;3.5109;3.5472;0.20177;0.69766
-0.38364;3.5993;3.6363;0.20385;0.78609
-0.38314;3.6416;3.6816;0.23627;0.8283
-0.38264;3.586;3.626;0.24807;0.7727
-0.38214;3.6083;3.6459;0.24419;0.795
-0.38164;3.6719;3.7061;0.21141;0.85865
-0.38114;3.6121;3.6449;0.18897;0.79881
-0.38064;3.4926;3.5246;0.18941;0.67934
-0.38014;3.4228;3.4532;0.19138;0.60952
-0.37964;3.4399;3.4611;0.18345;0.62668
-0.37914;3.5844;3.6105;0.18225;0.77111
-0.37864;3.6723;3.6958;0.1842;0.85904
-0.37814;3.7266;3.7491;0.21499;0.9133
-0.37764;3.681;3.7124;0.22194;0.86778
-0.37714;3.6956;3.7202;0.216;0.88237
-0.37664;3.7406;3.7631;0.18601;0.92736
-0.37614;3.6718;3.6906;0.16447;0.85859
-0.37564;3.5507;3.5673;0.16448;0.73745
-0.37514;3.4757;3.4968;0.16524;0.66248
-0.37464;3.4839;3.5006;0.15648;0.67067
-0.37414;3.6291;3.6506;0.15197;0.8158
-0.37364;3.7151;3.74;0.15794;0.90182
-0.37314;3.7768;3.7969;0.18252;0.9635
-0.37264;3.7267;3.7424;0.18732;0.91346
-0.37214;3.7337;3.7399;0.18453;0.92049
-0.37164;3.7755;3.7805;0.1565;0.96222
-0.37114;3.7008;3.7072;0.13785;0.8876
-0.37064;3.5775;3.5826;0.13861;0.76427
-0.37014;3.4984;3.5024;0.14221;0.68514
-0.36964;3.5009;3.4973;0.13447;0.68766
-0.36914;3.6457;3.6422;0.1273;0.83248
-0.36864;3.7332;3.7236;0.13121;0.92
-0.36814;3.7961;3.7818;0.15598;0.98285
-0.36764;3.7421;3.7296;0.16069;0.92881
-0.36714;3.7432;3.7256;0.15627;0.92997
-0.36664;3.7777;3.7663;0.13743;0.9644
-0.36614;3.7051;3.6972;0.1197;0.89184
-0.36564;3.5817;3.5731;0.12084;0.76845
-0.36514;3.5032;3.4921;0.12559;0.68999
-0.36464;3.5063;3.4844;0.12272;0.69303
-0.36414;3.652;3.6359;0.11642;0.83879
-0.36364;3.7386;3.7184;0.12098;0.92534
-0.36314;3.8003;3.7722;0.14553;0.98708
-0.36264;3.7462;3.7122;0.1548;0.93299
-0.36214;3.7498;3.7076;0.15483;0.93652
-0.36164;3.7888;3.7511;0.13181;0.97559
-0.36114;3.7144;3.6815;0.11631;0.90118
-0.36064;3.5922;3.5576;0.1184;0.77898
-0.36014;3.5153;3.4796;0.12391;0.70203
-0.35964;3.5175;3.4837;0.12272;0.7042
-0.35914;3.6612;3.6333;0.11583;0.84794
-0.35864;3.747;3.7171;0.1209;0.93378
-0.35814;3.8099;3.773;0.14558;0.99665
-0.35764;3.7552;3.7206;0.15337;0.94195
-0.35714;3.7553;3.7256;0.15217;0.94204
-0.35664;3.7922;3.7688;0.12892;0.97892
-0.35614;3.7155;3.6976;0.11503;0.90224
-0.35564;3.5932;3.5746;0.11535;0.77998
-0.35514;3.5136;3.495;0.11812;0.70038
-0.35464;3.511;3.4946;0.11641;0.69771
-0.35414;3.6565;3.6445;0.10974;0.84322
-0.35364;3.7413;3.7266;0.11599;0.92801
-0.35314;3.8047;3.7826;0.13761;0.99141
-0.35264;3.7521;3.7264;0.14433;0.93886
-0.35214;3.754;3.7261;0.14579;0.94072
-0.35164;3.7917;3.7694;0.12382;0.97846
-0.35114;3.7143;3.6991;0.11047;0.90107
-0.35064;3.5911;3.5762;0.11088;0.7778
-0.35014;3.5128;3.4996;0.11451;0.69956
-0.34964;3.5127;3.4969;0.11353;0.69946
-0.34914;3.6582;3.6385;0.10728;0.84493
-0.34864;3.7456;3.7241;0.11191;0.93239
-0.34814;3.8098;3.783;0.13507;0.99656
-0.34764;3.7576;3.7343;0.1431;0.94439
-0.34714;3.7601;3.7428;0.14273;0.94683
-0.34664;3.7931;3.7825;0.12477;0.97984
-0.34614;3.7179;3.7118;0.11065;0.90463
-0.34564;3.5958;3.5893;0.11057;0.78258
-0.34514;3.5195;3.5133;0.11509;0.70627
-0.34464;3.5242;3.5205;0.11666;0.71091
-0.34414;3.6714;3.672;0.11127;0.85812
-0.34364;3.7587;3.7576;0.11597;0.94542
-0.34314;3.8235;3.8189;0.14022;1.0102
-0.34264;3.7726;3.7658;0.15108;0.95939
-0.34214;3.7809;3.7737;0.1541;0.96768
-0.34164;3.8179;3.8129;0.13256;1.0047
-0.34114;3.7399;3.739;0.11777;0.92664
-0.34064;3.6196;3.6171;0.11926;0.80637
-0.34014;3.5475;3.5416;0.12689;0.73428
-0.33964;3.552;3.5473;0.13001;0.73877
-0.33914;3.6944;3.6946;0.12255;0.88119
-0.33864;3.7824;3.7812;0.12857;0.96911
-0.33814;3.8531;3.8525;0.15566;1.0399
-0.33764;3.8076;3.8158;0.16946;0.99438
-0.33714;3.8143;3.8106;0.17359;1.0011
-0.33664;3.8436;3.8394;0.14884;1.0304
-0.33614;3.7615;3.7598;0.13171;0.94827
-0.33564;3.6399;3.6353;0.13297;0.82669
-0.33514;3.5682;3.5648;0.14207;0.75496
-0.33464;3.5722;3.5654;0.14569;0.75896
-0.33414;3.7138;3.7107;0.13659;0.90054
-0.33364;3.8036;3.7979;0.14556;0.99037
-0.33314;3.8804;3.8674;0.17422;1.0672
-0.33264;3.8383;3.8229;0.1884;1.025
-0.33214;3.8501;3.8364;0.19556;1.0368
-0.33164;3.8782;3.8678;0.17008;1.0649
-0.33114;3.7917;3.7864;0.14875;0.97849
-0.33064;3.6694;3.6653;0.15086;0.85611
-0.33014;3.6008;3.5992;0.16264;0.78758
-0.32964;3.6084;3.6111;0.16563;0.79513
-0.32914;3.7474;3.753;0.15473;0.93414
-0.32864;3.8417;3.844;0.16484;1.0285
-0.32814;3.9262;3.9272;0.19849;1.1129
-0.32764;3.8872;3.8731;0.21662;1.0739
-0.32714;3.8954;3.8831;0.22249;1.0821
-0.32664;3.9151;3.9032;0.19224;1.1019
-0.32614;3.8252;3.8171;0.16873;1.0119
-0.32564;3.7039;3.6973;0.17024;0.89069
-0.32514;3.6392;3.6334;0.18367;0.82594
-0.32464;3.6477;3.649;0.18873;0.8344
-0.32414;3.7844;3.7878;0.17517;0.97115
-0.32364;3.8805;3.8803;0.18775;1.0672
-0.32314;3.9702;3.9727;0.22533;1.157
-0.32264;3.9331;3.9375;0.24501;1.1198
-0.32214;3.9463;3.9548;0.25201;1.1331
-0.32164;3.9628;3.9675;0.2207;1.1495
-0.32114;3.8673;3.8708;0.19266;1.0541
-0.32064;3.7473;3.7535;0.19469;0.93408
-0.32014;3.6866;3.6903;0.21141;0.87338
-0.31964;3.6969;3.6966;0.21678;0.88363
-0.31914;3.829;3.8303;0.20095;1.0157
-0.31864;3.9278;3.9246;0.21663;1.1145
-0.31814;4.0268;4.0315;0.25876;1.2136
-0.31764;3.9989;4.0142;0.28109;1.1857
-0.31714;4.0128;4.0199;0.28808;1.1995
-0.31664;4.0184;4.0189;0.25258;1.2052
-0.31614;3.9162;3.9176;0.22071;1.1029
-0.31564;3.7946;3.7963;0.22152;0.98132
-0.31514;3.7363;3.7322;0.23761;0.92307
-0.31464;3.7465;3.7447;0.24087;0.93322
-0.31414;3.8749;3.8766;0.22271;1.0616
-0.31364;3.9787;3.9784;0.24204;1.1655
-0.31314;4.0872;4.0864;0.28501;1.2739
-0.31264;4.0602;4.062;0.3033;1.2469
-0.31214;4.0763;4.0827;0.30629;1.2631
-0.31164;4.0773;4.0839;0.26824;1.264
-0.31114;3.9661;3.9731;0.23499;1.1528
-0.31064;3.8426;3.8511;0.23423;1.0294
-0.31014;3.782;3.7931;0.24699;0.96879
-0.30964;3.7902;3.8072;0.24596;0.97697
-0.30914;3.9154;3.9356;0.22719;1.1022
-0.30864;4.0243;4.0442;0.2462;1.211
-0.30814;4.1413;4.1667;0.28968;1.328
-0.30764;4.1096;4.1469;0.30468;1.2964
-0.30714;4.1122;4.1596;0.3031;1.2989
-0.30664;4.1024;4.141;0.2628;1.2891
-0.30614;3.9885;4.0246;0.23125;1.1753
-0.30564;3.8648;3.9029;0.22914;1.0516
-0.30514;3.8012;3.8157;0.23841;0.98791
-0.30464;3.8;3.8167;0.23646;0.98672
-0.30414;3.9214;3.9342;0.2178;1.1082
-0.30364;4.0292;4.0411;0.23519;1.2159
-0.30314;4.1436;4.1603;0.27766;1.3304
-0.30264;4.1043;4.1311;0.29136;1.291
-0.30214;4.0971;4.1153;0.28966;1.2838
-0.30164;4.0849;4.098;0.25096;1.2716
-0.30114;3.974;3.9857;0.2206;1.1607
-0.30064;3.8497;3.8659;0.22053;1.0365
-0.30014;3.7791;3.8062;0.23102;0.96587
-0.29964;3.764;3.7985;0.23124;0.9507
-0.29914;3.8814;3.9128;0.21528;1.0681
-0.29864;3.9833;4.0153;0.23295;1.17
-0.29814;4.086;4.1222;0.27659;1.2727
-0.29764;4.0228;4.0674;0.2953;1.2096
-0.29714;3.9973;4.0767;0.30194;1.184
-0.29664;3.9978;4.0608;0.26003;1.1845
-0.29614;3.8939;3.9526;0.23265;1.0806
-0.29564;3.7639;3.8189;0.23418;0.95061
-0.29514;3.6688;3.7343;0.24543;0.85557
-0.29464;3.6382;3.684;0.24892;0.82499
-0.29414;3.7657;3.8142;0.23482;0.95245
-0.29364;3.8548;3.908;0.25631;1.0415
-0.29314;3.936;4.0017;0.30031;1.1228
-0.29264;3.8657;3.9429;0.31119;1.0525
-0.29214;3.8143;3.8967;0.32363;1.001
-0.29164;3.8223;3.8951;0.28314;1.0091
-0.29114;3.7336;3.8039;0.26002;0.92031
-0.29064;3.6002;3.6746;0.26473;0.7869
-0.29014;3.4872;3.562;0.27826;0.67395
-0.28964;3.4441;3.486;0.28674;0.63089
-0.28914;3.5798;3.6382;0.28229;0.76655
-0.28864;3.6545;3.7106;0.2995;0.84126
-0.28814;3.6913;3.7372;0.35238;0.87805
-0.28764;3.5733;3.5872;0.38486;0.76007
-0.28714;3.5104;3.5354;0.40858;0.69714
-0.28664;3.574;3.5994;0.35758;0.76071
-0.28614;3.4932;3.5308;0.34587;0.67997
-0.28564;3.3628;3.4057;0.34469;0.54959
-0.28514;3.2384;3.2719;0.36428;0.42516
-0.28464;3.1768;3.2242;0.39416;0.36357
-0.28414;3.3108;3.3641;0.402;0.49751
-0.28364;3.3726;3.4329;0.42115;0.55936
-0.28314;3.3728;3.4345;0.47922;0.5596
-0.28264;3.265;3.3305;0.50974;0.45175
